"Date","MDD","MDD_4qra","GNI","ratio","ratio1","GNIq","unemployment","GNI_cl","CPI_all_q","CPI","GNI_cl_qoq","GNIq_qoq","GNI_lcl","GNI_lq","GNI_rlcl","GNI_rlq","GNI_rcl","GNI_rq","rpp_price_index","rpp_price_index_g","rpp_price_index_l","NFC_credit_total","HH_credit_total","NFC_credit_national","growth_NFC","rpp_price_index_r","Nat_cred","Nat_cred_r","Nat_cred_l","Nat_cred_rl","Nat_cred_ratio","Nat_cred_ratio_l","Nat_cred_ratio_cl","Tota_cred","Tota_cred_l","Tot_cred_ratio","Tot_cred_ratio_cl","Nat_cred_l_sa","Nat_cred_sa","GNI_sa","GNI_l_sa","rpp_price_index_sa","rpp_price_index_l_sa","Nat_cred_rl_sa","GNI_rl_sa","rpp_price_index_rl_sa"
1975-10-01,NA,NA,NA,NA,NA,5142.00006214654,NA,5142.00006214654,14.9,0.118962075848303,NA,NA,0.711132077555753,0.711132077555753,1.63572354368276,1.63572354368276,611.703001405058,611.703001405058,6.29565809469605,NA,0.799041134278136,3.14852970644153,0.632640806791648,1.39896836220067,0.945001891538252,0.748944555776217,2.03160916899232,0.241684444055772,0.708828173122559,-1.420122353891,0.000395100961578794,-3.40329191335106,0.000395100961578794,3.78117051323318,0.577626262468728,0.000735350149267544,0.000735350149267544,0.291752674789019,1.95772945383759,5.13037443908964,0.71014906314223,6.21341129810668,0.793330102781951,-0.64657845159976,-0.200568996874677,-0.142660712759674
1976-01-01,NA,NA,NA,NA,NA,5440.08347834193,NA,5440.08347834193,16,0.127744510978044,0.0579703252805783,0.0579703252805783,0.73560556401897,0.73560556401897,1.62926331590233,1.62926331590233,694.940803620526,694.940803620526,6.67888707660516,NA,0.824704100685599,3.33177079816891,0.672180055092305,1.37415277739028,1.01805882520393,0.853191163478504,2.04633283248258,0.261407786983803,0.716049329022007,-1.34167368870319,0.000376158351361601,-3.42462929165419,0.000376158351361601,4.00395085326121,0.602488738065909,0.000736009083169725,0.000736009083169725,0.313900237150133,2.06015661528545,5.43180513695722,0.734944181474548,6.66069432700966,0.82351950344532,-0.598432614008057,-0.163493543956342,-0.0604194610977634
1976-04-01,NA,NA,NA,NA,NA,5738.16689453732,NA,5738.16689453732,17,0.135728542914172,0.0547939047961521,0.0547939047961521,0.758773175545139,0.758773175545139,1.62610198870615,1.62610198870615,778.833031593888,778.833031593888,6.9107808899826,NA,0.839527123647598,3.27267021873859,0.738090547047145,1.45715619387529,0.943037392399051,0.93799022059644,2.19524674092243,0.297957641482486,0.786294450652577,-1.21080394525618,0.000382569343358118,-3.41728983447558,0.000382569343358118,4.01076076578574,0.603226757918387,0.000698962027333842,0.000698962027333842,0.332638187351002,2.15098898963862,5.75031988812154,0.7596920049995,6.99944056761993,0.845063330285019,-0.557796196923796,-0.110495325520475,-0.0344682541914801
1976-07-01,NA,NA,NA,NA,NA,6036.25031073271,NA,6036.25031073271,17.2,0.137325349301397,0.0519474985084805,0.0519474985084805,0.780767240764915,0.780767240764915,1.64301652839665,1.64301652839665,828.930182392036,828.930182392036,7.04657974843688,NA,0.847978371344406,3.4703504284311,0.794840981978153,1.60246985590894,0.909318941945882,0.967674025334246,2.39731083788709,0.32921154819687,0.874347624928441,-1.11105473121713,0.000397152323790247,-3.40104289199328,0.000397152323790247,4.26519141040925,0.62993852591836,0.00070659617988763,0.00070659617988763,0.398222123389277,2.50162451043437,6.04400128948896,0.781324548323817,7.05835972448619,0.848703788109854,-0.425161441961334,-0.0847978745700525,-0.00262924770010712
1976-10-01,NA,NA,NA,NA,NA,6334.3337269281,NA,6334.3337269281,17.9,0.142914171656687,0.0493822159205997,0.0493822159205997,0.801700940618664,0.801700940618664,1.64662564417805,1.64662564417805,905.266057580941,905.266057580941,7.76297626867237,23.3068275294763,0.890028258532296,3.81642817316087,0.861737911490934,1.7346041962555,0.923824500925457,1.10943932302783,2.59634210774643,0.371054081665958,0.954103572804279,-0.991407454313986,0.000409884009853955,-3.38733902378559,0.000409884009853955,4.67816608465181,0.670075636106614,0.000738541145182215,0.000738541145182215,0.401824700057947,2.52246239259171,6.32270810387119,0.800903132500517,7.68072947208301,0.885402468814803,-0.44975638815829,-0.0344717436206057,0.0336271931162533
1977-01-01,NA,NA,NA,NA,NA,6678.38899074017,NA,6678.38899074017,18.6,0.148502994011976,0.0543159357628165,0.0543159357628165,0.824671711455686,0.824671711455686,1.65293650177705,1.65293650177705,991.760760301534,991.760760301534,7.7716075520487,16.3608167485138,0.890510861628856,4.13111816079537,0.919240711427491,1.75008047034257,0.991156821443736,1.15410698976532,2.66932118177006,0.39640218747244,0.981824201050505,-0.925325958195314,0.000399695373460751,-3.39827087874038,0.000399695373460751,5.05035887222286,0.703322239641134,0.000756224125193271,0.000756224125193271,0.428644137306056,2.68314496457292,6.67011064935545,0.824133038415187,7.7534148024532,0.889493019052387,-0.41218666659846,-0.0073987534440712,0.0685712130685144
1977-04-01,NA,NA,NA,NA,NA,7022.44425455223,NA,7022.44425455223,19.3,0.154091816367265,0.0515177034894365,0.0515177034894365,0.846488300378216,0.846488300378216,1.65870872590973,1.65870872590973,1082.10119052182,1082.10119052182,8.23194266545304,19.1174021648626,0.915502336953103,4.16797631960794,1.00202113015242,1.85743914451,0.942200704402755,1.26847499755085,2.85946027466242,0.440619427552772,1.05063289186982,-0.819573752184318,0.000407188746683009,-3.3902042329331,0.000407188746683009,5.16999744976036,0.713490328866616,0.000736210536154695,0.000736210536154695,0.449509643102822,2.81520252337861,7.03459724813645,0.847239237816398,8.32060234309038,0.920154766772875,-0.377282708501911,0.0328726754649512,0.0983621158965517
1977-07-01,NA,NA,NA,NA,NA,7366.4995183643,NA,7366.4995183643,19.5,0.155688622754491,0.048993662511317,0.048993662511317,0.86726116479229,0.86726116479229,1.67500428796906,1.67500428796906,1146.88016453576,1146.88016453576,8.80793697610022,24.9959170341336,0.944874198444414,4.42366079767468,1.04706503290941,1.91457676718643,0.970156525632344,1.3712955771174,2.96164180009585,0.461093932949054,1.08574377676229,-0.774153497632979,0.000402041945799715,-3.39572863378363,0.000402041945799715,5.47072583058409,0.738044950338056,0.000742649316265596,0.000742649316265596,0.486565843236618,3.06595547264312,7.37425049712055,0.867717886140917,8.81971695214953,0.945454647706416,-0.29449541002386,0.0571240011958115,0.145378471370882
1977-10-01,NA,NA,NA,NA,NA,7710.55478217637,NA,7710.55478217637,19.9,0.158882235528942,0.0467053941908713,0.0467053941908713,0.887085627100212,0.887085627100212,1.68601028522979,1.68601028522979,1225.07018096056,1225.07018096056,9.08241178746755,16.9965161959825,0.958201188488827,4.55973925938534,1.14291884201931,1.93590484508664,0.988982889342761,1.44303388878726,3.07882368710594,0.489170390206853,1.12454760426476,-0.715044403969772,0.000399299891393408,-3.39870080793051,0.000399299891393408,5.70265810140465,0.756077334565224,0.000739591152972137,0.000739591152972137,0.477836378868123,3.00494397195122,7.69892915911947,0.886430323532685,9.00016499087818,0.954250470991677,-0.325020631969342,0.0946452335637038,0.15048030387436
1978-01-01,NA,NA,NA,NA,NA,8060.96785470139,NA,8060.96785470139,20.2,0.16127744510978,0.0454458962323989,0.0454458962323989,0.906387189289087,0.906387189289087,1.69881355438175,1.69881355438175,1300.05230071831,1300.05230071831,10.1457858994316,30.5493854583148,1.00628569341638,4.61053402290464,1.23755416515733,1.97527694013533,0.980067556984695,1.63628642849116,3.21283110529266,0.518157192230832,1.1671525127056,-0.657476622852217,0.000398566420708258,-3.39949929348153,0.000398566420708258,5.84808818806197,0.767013913077695,0.000725482137315707,0.000725482137315707,0.508752517244375,3.22665488809552,8.05268951331668,0.905940954369616,10.1275931498361,1.00550624635316,-0.29341343364887,0.111060639987695,0.218330137088256
